"","c..61....1L...46....2L...64....1L...80....3L...72....1L...62....1L.."
"61",1
"46",2
"64",1
"80",3
"72",1
"62",1
"58",1
"56",1
"59",1
"77",3
"82",2
"68",1
"70",1
"49",3
"60",1
"78",3
"75",3
"90",4
"94",4
"81",3
"74",3
"69",1
"44",2
"45",2
"71",1
"53",3
"83",2
"79",3
"73",3
"42",2
"65",1
"54",3
"76",3
"67",1
"47",3
"37",2
"39",2
"50",3
"57",1
"33",4
"32",4
"51",3
"48",3
"41",2
"25",4
"22",4
"66",1
"86",2
"52",3
"84",2
"35",4
"27",4
"63",1
"40",2
"55",3
"87",2
"30",4
"34",4
"23",4
"97",4
"85",2
"17",4
"28",4
"38",2
"36",4
"91",4
"88",2
"43",2
"89",4
"95",4
"31",4
"20",4
"24",4
"96",4
"26",4
"29",4
"92",4
"0",4
"8",4
"1",4
"93",4
"101",4
"10",4
"5",4
"15",4
"6",4
"12",4
"19",4
"100",4
"16",4
"21",4
"2",4
"18",4
"11",4
"13",4
"4",4
"14",4
"9",4
"7",4
"3",4
"98",4
"99",4
